borehole,section,p_far_mean_2024,p_far_std_2024,p_far_mean_2025,p_far_std_2025
22DR,0,93.313,16.098,63.69,29.216
22DR,1,121.986,99.744,39.79,9.892
22DR,2,78.341,33.278,232.991,143.694
23UR,0,129.482,11.226,54.005,22.812
23UR,1,160.765,30.957,-2.225,22.988
23UR,2,132.258,2.206,52.881,14.511
24DR,0,2.547,10.754,26.484,6.731
24DR,1,24.979,9.278,58.717,38.453
24DR,2,22.195,13.626,53.831,61.059
26R,0,99.744,12.883,21.58,10.187
26R,1,207.747,34.449,59.793,13.587
26R,2,353.877,64.446,201.2,39.711
37R,0,93.055,22.441,77.581,71.697
37R,1,31.058,1.82,22.046,27.988
37R,2,130.7,81.764,288.818,27.204
37UR,0,29.295,37.929,69.677,20.077
37UR,1,1.333,5.731,51.387,10.261
37UR,2,87.303,82.31,134.869,15.965
49DL,0,34.761,3.355,-1.429,11.974
49DL,1,28.495,10.397,-3.317,3.793
49DL,2,41.669,14.607,35.281,7.705
50UL,0,73.234,22.172,31.927,2.928
50UL,1,207.549,36.022,22.219,15.962
50UL,2,16.264,9.138,-10.657,3.729
